%  Stalagmite H5, Hoti, Oman (Neff et al., 2001)
%
%  Age years BP     d18O
%
6026.0    -1.46
6029.9    -2.43
6033.9    -3.18
6037.8    -2.95
6041.7    -3.07
6045.6    -2.65
6049.7    -3.90
6053.6    -4.21
6057.5    -3.93
6065.4    -3.84
6071.2    -3.74
6077.1    -3.95
6083.0    -4.07
6088.9    -3.93
6094.8    -3.79
6100.7    -4.28
6106.6    -4.26
6112.5    -5.30
6118.4    -4.29
6124.2    -4.52
6130.1    -4.53
6136.0    -4.35
6141.9    -4.15
6147.8    -4.33
6153.7    -4.03
6159.6    -4.05
6165.5    -3.85
6171.4    -4.12
6177.2    -4.82
6183.1    -4.87
6189.0    -4.64
6194.9    -4.48
6200.8    -4.54
6206.7    -4.69
6212.6    -5.07
6218.5    -5.23
6224.4    -4.53
6230.2    -4.50
6236.1    -4.72
6242.0    -4.99
6247.9    -5.16
6253.8    -5.07
6259.7    -5.64
6265.6    -5.82
6271.5    -5.77
6277.4    -5.71
6283.2    -5.67
6289.1    -5.56
6295.0    -5.40
6300.9    -5.55
6306.8    -5.47
6312.7    -5.68
6318.6    -5.68
6324.5    -5.55
6330.4    -5.43
6336.2    -5.56
6342.1    -5.57
6348.0    -5.53
6353.9    -4.89
6359.8    -4.70
6365.7    -5.13
6371.6    -5.41
6377.5    -5.45
6383.4    -5.50
6389.2    -5.50
6395.1    -5.31
6401.0    -5.24
6406.9    -4.88
6412.8    -5.19
6418.7    -5.62
6428.2    -4.75
6437.7    -5.08
6447.1    -4.87
6456.6    -5.15
6466.1    -4.57
6475.6    -4.84
6485.1    -4.69
6494.5    -4.95
6504.0    -4.74
6513.5    -4.75
6523.0    -5.13
6532.5    -4.94
6541.9    -5.29
6551.4    -4.77
6560.9    -4.59
6570.4    -5.18
6579.9    -4.99
6589.4    -5.02
6598.8    -4.90
6608.3    -5.01
6617.8    -5.00
6627.3    -5.04
6636.8    -5.09
6646.2    -4.92
6655.7    -5.01
6665.2    -5.04
6674.7    -5.13
6684.2    -4.71
6693.6    -4.69
6703.3    -4.89
6711.0    -5.15
6718.6    -4.99
6726.3    -4.85
6733.9    -4.93
6741.6    -5.37
6749.3    -4.88
6756.9    -5.03
6764.6    -5.29
6772.2    -5.05
6779.9    -4.86
6787.5    -3.93
6795.2    -4.43
6802.8    -4.65
6810.5    -4.78
6818.2    -4.97
6825.8    -5.03
6833.5    -5.10
6841.1    -5.13
6848.8    -5.30
6856.4    -5.32
6864.1    -4.17
6871.7    -5.03
6879.4    -4.84
6887.1    -4.70
6894.7    -5.19
6902.4    -5.40
6910.0    -5.54
6917.7    -5.44
6925.3    -5.36
6933.0    -6.02
6940.6    -5.97
6948.3    -5.89
6956.0    -6.13
6963.6    -5.40
6971.3    -5.46
6978.9    -5.27
6986.6    -5.31
6994.2    -5.16
7001.9    -5.61
7009.5    -5.20
7017.2    -5.31
7024.9    -5.50
7032.5    -5.14
7040.2    -5.14
7047.8    -5.43
7055.5    -5.16
7063.1    -5.24
7070.8    -5.37
7078.4    -5.41
7086.1    -4.95
7094.9    -4.82
7103.8    -4.14
7112.6    -5.42
7121.4    -5.48
7130.3    -4.57
7139.1    -4.91
7147.9    -5.17
7156.8    -5.10
7165.6    -4.94
7174.4    -5.21
7183.3    -4.30
7192.1    -5.21
7200.9    -4.86
7209.8    -5.34
7218.6    -5.31
7227.4    -5.31
7236.3    -4.79
7245.1    -5.13
7262.8    -4.98
7270.6    -4.71
7278.5    -4.15
7286.3    -5.13
7294.2    -4.61
7302.0    -4.50
7309.9    -4.18
7317.7    -4.79
7325.6    -4.59
7333.4    -4.69
7341.3    -5.13
7349.1    -5.13
7357.0    -5.07
7364.8    -4.91
7372.7    -4.66
7380.5    -4.77
7388.4    -5.00
7396.2    -5.35
7404.1    -5.34
7411.9    -5.07
7419.8    -5.29
7427.7    -4.67
7435.5    -5.34
7443.4    -4.69
7451.2    -4.64
7459.1    -4.66
7466.9    -4.96
7474.8    -5.35
7482.6    -5.30
7498.3    -5.14
7507.2    -5.39
7516.0    -5.11
7524.8    -5.00
7533.7    -4.93
7542.5    -5.42
7551.3    -5.59
7560.2    -5.36
7569.0    -5.57
7577.8    -5.46
7586.7    -5.22
7595.5    -5.19
7604.3    -5.50
7613.2    -5.03
7622.0    -5.17
7630.8    -5.59
7639.7    -5.52
7648.5    -5.95
7657.3    -5.77
7666.2    -5.41
7675.0    -5.59
7683.8    -5.66
7692.7    -5.20
7701.5    -4.97
7710.3    -5.65
7719.2    -4.99
7728.0    -5.03
7736.8    -5.40
7745.7    -5.90
7754.5    -5.68
7763.3    -5.72
7771.4    -4.52
7779.5    -4.35
7787.5    -4.68
7795.6    -5.21
7803.7    -5.19
7811.7    -5.44
7819.8    -5.28
7827.9    -5.40
7835.9    -5.38
7844.0    -5.41
7852.1    -5.38
7860.1    -5.76
7868.2    -5.38
7876.3    -5.61
7884.3    -5.62
7892.4    -5.49
7900.5    -5.70
7908.5    -5.59
7916.6    -5.27
7924.7    -5.42
7932.7    -5.23
7940.8    -5.17
7948.9    -5.00
