%  Stalagmite LR06-B1, Liang-Luar, Indonesia (Griffiths et al., 2009)
%
%  Age years BP     d18O
%
-52.0            -6.26
-45.7            -6.51
-38.9            -6.59
-31.0            -5.93
-20.8            -6.35
-10.4            -6.14
0.1              -6.10
10.6             -6.30
21.3             -6.33
31.9             -6.23
42.6             -6.24
52.6             -6.33
62.4             -6.39
72.0             -6.12
81.5             -6.15
90.7             -6.14
99.8             -6.07
108.7            -6.44
117.7            -6.61
126.6            -6.17
135.6            -6.31
144.7            -6.03
153.4            -6.17
162.1            -6.29
170.9            -6.19
179.7            -6.29
188.8            -6.01
197.9            -5.90
207.1            -5.90
216.3            -6.10
225.5            -5.95
234.8            -6.13
244.4            -5.99
254.2            -5.86
264.2            -6.08
274.3            -6.22
284.3            -6.30
294.9            -6.02
305.3            -5.99
315.8            -6.00
326.5            -6.08
337.8            -6.26
349.4            -6.80
361.1            -6.68
373.0            -6.60
385.0            -6.47
397.2            -6.43
409.4            -6.66
421.2            -6.44
432.9            -6.42
444.0            -6.47
454.9            -6.19
465.6            -6.26
476.1            -6.32
486.6            -6.17
497.1            -6.26
507.5            -6.10
517.9            -6.20
528.1            -6.17
538.4            -6.20
548.9            -6.19
558.9            -6.11
569.0            -6.07
578.7            -6.02
588.5            -5.90
598.3            -6.06
608.3            -6.04
618.4            -5.94
628.6            -5.96
638.8            -6.06
649.3            -6.14
659.9            -6.29
670.8            -5.89
681.8            -6.23
693.1            -6.51
704.5            -6.62
716.0            -6.20
727.7            -6.15
740.3            -6.30
752.8            -6.10
765.1            -6.35
777.4            -6.26
789.5            -6.30
804.5            -6.30
820.6            -5.92
839.1            -6.10
858.0            -6.26
876.6            -6.34
895.1            -6.27
912.8            -6.37
930.3            -6.41
947.0            -6.36
963.6            -6.18
980.2            -6.39
996.7            -6.29
1013.4           -6.28
1030.2           -6.29
1047.2           -6.34
1064.7           -6.31
1082.2           -6.52
1101.4           -6.46
1120.7           -6.30
1140.6           -6.42
1158.1           -6.34
1171.0           -6.41
1181.7           -6.23
1190.4           -6.28
1198.5           -6.39
1206.3           -6.20
1213.8           -6.37
1221.2           -6.56
1228.4           -6.40
1235.5           -6.45
1242.6           -6.40
1249.6           -6.42
1256.5           -6.32
1263.4           -6.23
1270.4           -6.38
1277.1           -6.35
1283.7           -6.04
1290.2           -5.97
1296.8           -6.04
1303.2           -6.15
1309.6           -5.90
1316.3           -6.15
1323.0           -6.05
1329.7           -5.99
1336.3           -5.98
1343.0           -6.02
1349.7           -6.20
1356.3           -6.34
1362.8           -6.37
1369.3           -6.18
1375.7           -6.18
1382.1           -6.10
1388.6           -6.20
1395.1           -6.33
1401.6           -6.01
1408.1           -5.90
1415.1           -5.96
1422.1           -5.74
1429.0           -5.86
1436.0           -6.11
1443.0           -6.23
1450.2           -6.15
1457.4           -6.17
1464.9           -6.26
1472.6           -6.15
1480.4           -6.18
1488.2           -5.92
1496.5           -5.97
1504.5           -6.03
1511.5           -6.39
1518.0           -6.19
1523.3           -5.99
1528.3           -6.83
1533.0           -6.21
1537.3           -5.98
1541.5           -6.30
1545.5           -6.32
1549.4           -5.87
1553.1           -5.91
1556.6           -5.97
1560.1           -5.89
1563.6           -6.12
1567.1           -5.92
1570.6           -6.13
1574.0           -6.15
1577.4           -6.18
1580.8           -5.91
1584.0           -6.18
1587.2           -6.18
1590.5           -6.23
1593.9           -6.28
1597.2           -5.93
1600.5           -6.01
1603.9           -6.04
1607.3           -6.31
1610.7           -6.23
1614.0           -6.23
1617.1           -6.33
1620.3           -6.12
1623.4           -6.22
1626.6           -6.02
1629.8           -6.51
1633.1           -6.33
1636.3           -6.27
1639.7           -6.45
1642.9           -6.32
1646.1           -6.35
1649.3           -6.36
1652.6           -6.22
1655.8           -6.22
1659.0           -6.38
1662.1           -6.36
1665.1           -6.33
1668.3           -6.54
1671.5           -6.37
1674.8           -6.34
1678.0           -6.38
1681.4           -6.44
1684.8           -6.51
1688.1           -6.54
1691.6           -6.49
1695.1           -6.26
1698.7           -6.13
1702.3           -6.40
1705.9           -6.49
1709.6           -6.22
1713.3           -6.02
1717.0           -6.41
1720.9           -6.45
1724.8           -6.75
1728.7           -6.76
1732.9           -6.56
1737.7           -6.85
1742.8           -6.59
1748.5           -6.85
1755.2           -6.92
1762.6           -6.55
1769.8           -6.85
1776.9           -6.59
1783.9           -6.46
1790.7           -6.53
1797.5           -6.77
1804.4           -6.73
1811.3           -6.82
1818.1           -6.40
1825.0           -6.63
1831.7           -6.67
1838.4           -6.40
1845.1           -6.27
1851.8           -6.37
1858.5           -6.39
1865.1           -6.56
1871.5           -6.11
1877.9           -6.31
1884.1           -6.39
1890.3           -6.52
1896.5           -6.62
1902.6           -6.60
1908.8           -6.35
1914.8           -6.29
1920.8           -6.47
1926.9           -6.69
1933.1           -6.76
1938.8           -6.61
1944.5           -6.74
1950.4           -6.56
1956.3           -6.47
1962.2           -6.50
1967.9           -6.32
1973.4           -6.72
1979.1           -6.57
1985.1           -6.34
1990.9           -6.78
1996.6           -6.44
2002.2           -6.66
2007.9           -6.54
2013.7           -6.58
2019.5           -6.70
2025.4           -6.37
2031.3           -6.32
2037.0           -6.52
2042.8           -6.71
2048.7           -6.41
2054.5           -6.66
2060.4           -6.51
2066.3           -6.67
2072.3           -6.64
2078.1           -6.57
2083.9           -6.82
2089.5           -6.88
2095.1           -6.61
2101.0           -6.38
2106.9           -6.35
2112.8           -6.37
2118.7           -6.31
