%  Stalagmite, KM-A, Krem Mawmluh, India (Berkelhammer et al., 2012)
%
%  Removed all data point older than 9000 years B.P., since record is not reliable there (M. Berkelhammer, priv. comm., via S.F.M. Breitenbach) (2/29/2013).
%
%  Age years BP     d18O
%
3653      -5.98978
3659      -6.34279
3665     -6.371348
3671     -6.156792
3677     -6.107148
3683     -6.138709
3689     -6.265227
3695     -6.420271
3701      -6.45645
3707     -6.474284
3713     -6.600483
3719     -6.737324
3725     -6.996647
3731     -7.168338
3737     -6.738413
3743     -6.388649
3749     -6.366517
3755     -6.401711
3761     -6.605557
3767     -6.723481
3773     -6.637361
3779     -6.626879
3785     -6.775418
3791     -6.808547
3797     -6.606922
3803     -6.506546
3809     -6.625383
3815     -6.782594
3821     -7.038703
3827     -7.190117
3833     -6.974262
3839     -6.781875
3845     -6.726361
3851     -6.672892
3857     -6.653369
3863     -6.633846
3869     -6.663875
3875     -6.696148
3881     -6.680064
3887     -6.655423
3893     -6.168229
3899     -5.517952
3905     -4.867675
3911     -4.627194
3917     -4.593027
3923     -4.704356
3929     -4.723486
3935      -5.45048
3941     -5.786952
3947     -4.835108
3953     -4.558823
3959     -4.756806
3965     -5.083706
3971      -4.68298
3977     -4.614502
3983     -4.710526
3989     -4.850247
3995     -4.693171
4001     -4.707682
4007      -4.70741
4013     -4.707863
4019     -4.842658
4025     -4.886334
4031      -4.65784
4037     -4.456344
4043     -4.484125
4049     -4.511906
4055     -4.897943
4061     -5.302656
4067     -5.692039
4073     -5.890646
4079      -5.67964
4085     -5.468633
4091     -5.669297
4097     -5.867621
4103     -5.775672
4109     -5.428576
4115     -5.333582
4121     -5.709503
4127     -6.113525
4133     -6.010202
4139     -5.441222
4145     -5.495727
4151     -5.702946
4157     -6.183804
4163     -6.113916
4169     -5.838163
4175     -5.725463
4181     -5.909567
4187     -5.849016
4193     -5.712925
4199      -5.68069
4205     -5.706087
4211     -5.178929
4217     -5.584249
4223     -5.599146
4229     -5.747592
4235     -5.871376
4241     -5.728776
4247     -5.649844
4253     -5.571714
4259     -5.586808
4265      -5.73337
4271     -5.879932
4277     -5.786213
4283     -5.685634
4289     -5.663336
4295     -5.755051
4301     -5.603889
4307     -5.346635
4313     -6.236417
4319     -6.443348
4325     -6.402271
4331     -6.588203
4337     -6.548169
4343     -6.212441
4349     -6.397603
4355     -6.566164
4361     -6.400625
4367     -6.235085
4373     -6.069546
4379     -5.849665
4385     -5.676389
4391     -5.625474
4397     -5.585594
4403      -5.59135
4409     -5.999782
4415     -6.345828
4421     -6.087477
4427     -6.321611
4433     -6.693523
4457     -6.084769
4463     -5.862424
4469     -6.151079
4475     -6.288189
4481     -5.901097
4487     -6.217606
4493     -6.610922
4499     -6.212485
4505     -6.182529
4511     -6.457327
4517     -6.230024
4523      -5.87855
4529     -6.051808
4535      -6.20363
4541     -6.304158
4547     -6.476492
4553     -6.650916
4559     -6.188114
4565     -6.071992
4571     -6.133534
4577     -6.089352
4583     -6.076641
4589     -6.205328
4595     -6.259337
4601     -6.203297
4607      -6.32494
4613     -6.419404
4619     -6.196042
4625     -6.208202
4631     -6.295533
4637     -6.162588
4643     -6.055539
4649     -6.054529
4655     -6.034176
4661     -6.003399
4667     -6.031678
4673     -6.063232
4679     -6.110199
4685     -6.139028
4691     -6.164786
4697     -6.220385
4703     -6.343478
4709     -6.517215
4715     -6.618019
4721     -6.647461
4727     -6.625751
4733     -6.544949
4739     -6.307968
4745     -6.490452
4751     -6.693291
4757     -6.490922
4763     -6.439269
4769     -6.475062
4775     -6.193778
4781     -5.940315
4787     -6.043092
4793     -6.082708
4799     -6.022292
4805     -6.314423
4811     -6.575816
4817     -6.250944
4823     -6.120847
4829     -6.085377
4835     -6.081346
4841     -6.102373
4847     -6.091847
4853     -5.713229
4859     -5.691056
4865     -5.745519
4871     -5.764898
4877     -5.545685
4883     -5.796263
4889     -6.159449
4895     -6.057446
4901     -6.033148
4907     -6.182127
4913      -6.11871
4919     -5.962177
4925     -6.192643
4931     -6.327621
4937     -6.135763
4943      -6.20747
4949      -6.30607
4955     -6.157153
4961     -6.218426
4967     -6.425232
4973     -6.359254
4979      -6.26346
4985     -6.445912
4991     -6.497421
4997     -6.296103
5003     -6.421837
5009     -6.538651
5015     -6.419034
5021     -6.485339
5027     -6.625582
5033     -6.418442
5039     -6.275659
5045     -6.406198
5051     -6.469707
5057     -6.457224
5063     -6.565493
5069     -6.634655
5075     -6.411158
5081     -6.469597
5087     -6.601419
5093     -6.258041
5099     -6.096678
5105     -6.256414
5111     -6.196615
5117     -5.955768
5123      -5.96679
5129     -5.971192
5135     -5.941936
5141     -5.932436
5147     -5.926946
5153     -5.862318
5159     -5.960468
5165     -6.241605
5171     -6.278396
5177     -6.129029
5183     -6.538585
5189     -6.871033
5195     -6.531195
5201     -6.499404
5207     -6.572295
5213     -6.629378
5219     -6.620496
5225     -6.492705
5231     -6.354723
5237     -6.188722
5243     -6.194277
5249     -6.222963
5255     -6.008493
5261     -5.905656
5267     -6.083538
5273     -6.122916
5279     -5.781247
5285     -5.832133
5291     -5.955491
5297     -5.977074
5303      -5.92107
5309     -5.767733
5315     -5.622326
5321     -5.573776
5327     -5.584969
5333     -5.633839
5339     -5.612246
5345     -5.486393
5351     -5.536326
5357     -5.602083
5363     -5.558515
5369     -5.502437
5375     -5.685658
5381     -5.868879
5387     -5.694057
5393     -5.593611
5399     -5.833105
5405     -6.072599
5411     -5.895147
5417     -5.820019
5423     -6.035329
5429     -6.250639
5435      -6.07086
5441     -5.948651
5447     -6.168799
5453     -6.388948
5459     -6.245541
5465     -6.061081
5471     -6.180543
5477     -6.300004
5483     -6.124826
5489     -5.940713
5495     -6.116222
5501     -6.291731
5507     -5.956068
5513     -5.831796
5519      -6.00368
5525     -5.972162
5531     -5.647492
5537     -5.713111
5543     -5.739297
5549     -5.584331
5555     -5.634167
5561     -5.638171
5567     -5.502028
5573     -5.619204
5579     -5.695445
5585     -5.788559
5591     -5.965246
5597     -5.522727
5603     -5.862218
5609     -5.980135
5615     -5.631964
5621     -5.786183
5627     -5.789681
5633      -5.97177
5639     -5.996148
5645     -5.951955
5651     -6.065285
5657     -5.891844
5663     -6.050089
5669     -5.995793
5675     -6.202836
5681     -6.466851
5687     -6.444409
5693     -6.418824
5699     -6.241109
5705     -6.224959
5711     -6.263197
5717     -6.392296
5723     -6.503352
5729     -6.590882
5735     -6.427455
5741     -6.452196
5747     -6.586269
5753     -6.703691
5759     -6.543627
5765     -6.705918
5771     -6.401523
5777     -6.822883
5783     -6.778688
5789     -6.676459
5795     -6.664409
5801     -6.635606
5807     -6.668569
5813     -6.939656
5819     -6.940951
5825     -6.679145
5831     -6.582716
5837     -7.056278
5843     -6.773647
5849      -6.45643
5855     -6.725315
5861     -6.781391
5867     -6.837052
5873     -6.816494
5879     -6.522498
5885     -6.680864
5891     -6.814225
5897     -6.913466
5903     -7.032144
5909     -6.779398
5915     -6.822504
5921     -6.703792
5927      -6.74655
5933     -6.522931
5939     -6.976798
5945     -7.211513
5951      -6.84907
5957     -6.771404
5963     -6.999017
5969     -6.854662
5975      -6.94094
5981     -7.099732
5987     -6.943299
5993     -6.891454
5999      -6.84867
6005     -6.895557
6011     -6.997714
6017     -7.074665
6023     -6.829109
6029     -6.714691
6035     -6.851367
6041     -6.849455
6047     -6.913161
6053     -6.995763
6059     -7.072707
6065     -7.251045
6071     -7.028065
6077      -6.76281
6083     -6.815004
6089      -7.07428
6095     -7.063533
6101     -7.158619
6107     -7.373939
6113     -6.890216
6119     -6.833582
6125     -7.315466
6131     -6.944311
6137     -6.687731
6143     -6.947229
6149     -6.720691
6155     -6.526303
6161     -6.028881
6167     -5.874429
6173     -6.081931
6179     -6.553624
6185     -6.662748
6191     -6.509344
6197     -6.682479
6203      -6.38169
6209     -6.943521
6215     -6.611538
6221     -7.061377
6227     -6.854567
6233     -7.111102
6239     -6.578214
6245     -6.609745
6251     -6.480476
6257     -6.533987
6263     -6.608771
6269     -6.575403
6275     -6.480109
6281     -6.554527
6287     -6.636593
6293     -6.623787
6299     -6.467453
6305      -6.49759
6311     -6.576576
6317     -6.394133
6323     -6.375611
6329      -6.66312
6335     -6.234026
6341      -6.34978
6347     -6.466267
6353     -6.644533
6359     -6.392577
6365     -6.640787
6371      -6.60946
6377     -6.565597
6383     -6.819346
6389     -6.362491
6395     -6.532565
6401     -6.598856
6407     -6.673688
6413     -6.526909
6419     -6.562545
6425     -6.395992
6431     -6.773142
6437     -6.418246
6443     -6.507972
6449     -6.318304
6455     -6.307043
6461     -6.426875
6467     -6.499704
6473     -6.295395
6479     -6.229372
6485     -6.258499
6491     -6.321043
6497      -6.20003
6503     -6.159235
6509     -6.076634
6515     -6.017215
6521       -5.9861
6527     -5.970886
6533     -5.981027
6539     -6.018752
6545     -6.040542
6551     -6.131086
6557     -5.978301
6563     -5.999085
6569     -6.035849
6575      -6.08415
6581     -6.273226
6587     -5.946118
6593     -6.525995
6599     -6.984916
6605     -6.497345
6611     -6.700934
6617     -6.075848
6623     -6.742056
6629     -6.617091
6635     -6.341997
6641     -6.398533
6647     -6.258878
6653     -6.286713
6659     -7.084675
6665     -6.672326
6671     -6.633586
6677     -6.649034
6683      -6.86273
6689     -6.825794
6695     -6.834118
6701     -7.022797
6707      -6.80989
6713     -7.027747
6719      -7.06172
6725     -7.108482
6731     -7.449581
6737     -7.002621
6743     -7.166501
6749     -7.191016
6755     -7.005373
6761     -7.311321
6767     -6.990015
6773     -7.203079
6779     -7.405372
6785     -7.185651
6791     -7.030739
6797     -7.048363
6803     -7.112297
6809     -7.349449
6815     -7.479887
6821     -7.439728
6827      -7.26169
6833     -7.513355
6839     -7.578567
6845     -7.105123
6851     -6.945999
6857     -6.955989
6863     -6.522138
6869     -6.859034
6875     -7.150027
6881     -7.106983
6887     -6.718663
6893     -7.121661
6899     -6.915707
6905     -6.814261
6911     -6.909271
6917     -6.330862
6923      -6.26135
6929     -6.228156
6935     -6.436213
6941     -6.352124
6947     -6.323913
6953     -6.220794
6959     -6.978682
6965     -6.462006
6971     -6.264725
6977     -6.337365
6983      -6.28962
6989     -6.197363
6995     -6.198547
7001     -6.315252
7007     -6.320846
7013     -6.339716
7019     -6.423284
7025     -6.448864
7031     -6.584597
7037     -6.544083
7043     -6.291273
7049     -6.297037
7055     -6.262762
7061      -6.28768
7067      -6.40759
7073     -6.215261
7079     -6.113861
7085     -6.010578
7091     -6.079247
7097     -6.386204
7103     -6.402313
7109     -6.562071
7115     -6.747262
7121     -6.559798
7127     -6.886535
7133     -7.003251
7139     -7.081003
7145     -7.012715
7151     -6.991022
7157     -7.154065
7163     -7.028907
7169     -6.696687
7175     -6.853069
7181     -6.941801
7187     -6.520953
7193      -6.38358
7199     -6.484026
7205     -7.198069
7211     -6.963238
7217     -7.151495
7223      -6.93215
7229     -7.017015
7235     -6.698349
7241     -7.172874
7247      -7.14698
7253     -6.764997
7259     -6.972381
7265     -6.866141
7271     -6.853229
7277     -7.104752
7283     -7.202979
7289     -7.186823
7295     -7.321287
7301     -7.513232
7307     -7.475371
7313     -7.337961
7319     -6.760022
7325     -6.508598
7331     -6.640809
7337     -6.595699
7343     -6.543243
7349     -6.531875
7355      -6.59503
7361     -6.471485
7367     -6.307128
7373     -6.266129
7379     -6.367179
7385     -6.576003
7391     -6.556673
7397     -6.584232
7403     -6.489229
7409     -6.688208
7415      -7.22164
7421     -7.217144
7427     -7.245626
7433     -7.239721
7439     -7.140411
7445     -7.358337
7451     -7.569457
7457     -7.413755
7463     -7.348389
7469     -7.155349
7475     -7.109736
7481     -7.188845
7487     -7.085326
7493     -7.343733
7499     -7.337315
7505     -7.230752
7511     -7.425672
7517     -7.333982
7523     -7.247513
7529     -7.506375
7535     -7.431867
7541     -7.575699
7547     -7.347384
7553     -7.424472
7559     -7.252343
7565     -7.468884
